[Thu 2023-06-08 01:09:28 PM] [client 223.229.204.40] by  UPDATE admit_card SET student_class = 'I', subject_id = '1', exam_date = '2023-05-18', start_time = '11:00:00', end_time = '12:10:00' WHERE student_class = 'I'and subject_id = '1'
[Thu 2023-06-08 01:09:28 PM] [client 223.229.204.40] by  UPDATE admit_card SET student_class = 'I', subject_id = '2', exam_date = '2023-05-19', start_time = '09:20:00', end_time = '10:30:00' WHERE student_class = 'I'and subject_id = '2'
[Thu 2023-06-08 01:09:28 PM] [client 223.229.204.40] by  UPDATE admit_card SET student_class = 'I', subject_id = '3', exam_date = '2023-05-20', start_time = '09:20:00', end_time = '10:30:00' WHERE student_class = 'I'and subject_id = '3'
[Thu 2023-06-08 01:09:28 PM] [client 223.229.204.40] by  UPDATE admit_card SET student_class = 'I', subject_id = '4', exam_date = '2022-12-16', start_time = '11:00:00', end_time = '12:10:00' WHERE student_class = 'I'and subject_id = '4'
[Thu 2023-06-08 01:09:28 PM] [client 223.229.204.40] by  UPDATE admit_card SET student_class = 'I', subject_id = '7', exam_date = '2022-12-16', start_time = '12:40:00', end_time = '13:50:00' WHERE student_class = 'I'and subject_id = '7'
[Thu 2023-06-08 01:09:28 PM] [client 223.229.204.40] by  UPDATE admit_card SET student_class = 'I', subject_id = '14', exam_date = '2022-12-09', start_time = '09:00:00', end_time = '12:00:00' WHERE student_class = 'I'and subject_id = '14'
[Thu 2023-06-08 01:10:18 PM] [client 223.229.204.40] by  UPDATE admit_card SET student_class = 'I', subject_id = '1', exam_date = '2023-06-18', start_time = '11:00:00', end_time = '12:10:00' WHERE student_class = 'I'and subject_id = '1'
[Thu 2023-06-08 01:10:18 PM] [client 223.229.204.40] by  UPDATE admit_card SET student_class = 'I', subject_id = '2', exam_date = '2023-06-19', start_time = '09:20:00', end_time = '10:30:00' WHERE student_class = 'I'and subject_id = '2'
[Thu 2023-06-08 01:10:18 PM] [client 223.229.204.40] by  UPDATE admit_card SET student_class = 'I', subject_id = '3', exam_date = '2023-06-20', start_time = '09:20:00', end_time = '10:30:00' WHERE student_class = 'I'and subject_id = '3'
[Thu 2023-06-08 01:10:18 PM] [client 223.229.204.40] by  UPDATE admit_card SET student_class = 'I', subject_id = '4', exam_date = '2022-12-16', start_time = '11:00:00', end_time = '12:10:00' WHERE student_class = 'I'and subject_id = '4'
[Thu 2023-06-08 01:10:18 PM] [client 223.229.204.40] by  UPDATE admit_card SET student_class = 'I', subject_id = '7', exam_date = '2022-12-16', start_time = '12:40:00', end_time = '13:50:00' WHERE student_class = 'I'and subject_id = '7'
[Thu 2023-06-08 01:10:18 PM] [client 223.229.204.40] by  UPDATE admit_card SET student_class = 'I', subject_id = '14', exam_date = '2022-12-09', start_time = '09:00:00', end_time = '12:00:00' WHERE student_class = 'I'and subject_id = '14'
[Thu 2023-06-08 01:10:54 PM] [client 223.229.204.40] by  UPDATE admit_card SET student_class = 'I', subject_id = '1', exam_date = '2023-06-18', start_time = '11:00:00', end_time = '12:10:00' WHERE student_class = 'I'and subject_id = '1'
[Thu 2023-06-08 01:10:54 PM] [client 223.229.204.40] by  UPDATE admit_card SET student_class = 'I', subject_id = '2', exam_date = '2023-06-19', start_time = '09:20:00', end_time = '10:30:00' WHERE student_class = 'I'and subject_id = '2'
[Thu 2023-06-08 01:10:54 PM] [client 223.229.204.40] by  UPDATE admit_card SET student_class = 'I', subject_id = '3', exam_date = '2023-06-20', start_time = '09:20:00', end_time = '10:30:00' WHERE student_class = 'I'and subject_id = '3'
[Thu 2023-06-08 01:10:54 PM] [client 223.229.204.40] by  UPDATE admit_card SET student_class = 'I', subject_id = '4', exam_date = '2022-12-18', start_time = '14:00', end_time = '16:10' WHERE student_class = 'I'and subject_id = '4'
[Thu 2023-06-08 01:10:54 PM] [client 223.229.204.40] by  UPDATE admit_card SET student_class = 'I', subject_id = '7', exam_date = '2022-12-16', start_time = '12:40:00', end_time = '13:50:00' WHERE student_class = 'I'and subject_id = '7'
